pais;tipo_dato;gastos_duracion;periodo;total
Total;Dato base;Gasto total;2025-02-01;7259.81
Total;Dato base;Gasto total;2025-01-01;7132.04
Total;Dato base;Gasto total;2024-12-01;7590.34
Total;Dato base;Gasto total;2024-11-01;7707.67
Total;Dato base;Gasto total;2024-10-01;11898.7
Total;Dato base;Gasto total;2024-09-01;12613.05
Total;Dato base;Gasto total;2024-08-01;15364.42
Total;Dato base;Gasto total;2024-07-01;15513.29
Total;Dato base;Gasto total;2024-06-01;12356.78
Total;Dato base;Gasto total;2024-05-01;11686.91
Total;Dato base;Gasto total;2024-04-01;9488.1
Total;Dato base;Gasto total;2024-03-01;8631.35
Total;Dato base;Gasto total;2024-02-01;6746.32
Total;Dato base;Gasto total;2024-01-01;6546.3
Total;Dato base;Gasto total;2023-12-01;7090.5
Total;Dato base;Gasto total;2023-11-01;6644.47
Total;Dato base;Gasto total;2023-10-01;10302.07
Total;Dato base;Gasto total;2023-09-01;11193.59
Total;Dato base;Gasto total;2023-08-01;13599.39
Total;Dato base;Gasto total;2023-07-01;13880.83
Total;Dato base;Gasto total;2023-06-01;10607.99
Total;Dato base;Gasto total;2023-05-01;9766.97
Total;Dato base;Gasto total;2023-04-01;8454.47
Total;Dato base;Gasto total;2023-03-01;6668.07
Total;Dato base;Gasto total;2023-02-01;5364.13
Total;Dato base;Gasto total;2023-01-01;5216.94
Total;Dato base;Gasto total;2022-12-01;5238.8
Total;Dato base;Gasto total;2022-11-01;5381.97
Total;Dato base;Gasto total;2022-10-01;8311.2
Total;Dato base;Gasto total;2022-09-01;9147.69
Total;Dato base;Gasto total;2022-08-01;11281.82
Total;Dato base;Gasto total;2022-07-01;11902.1
Total;Dato base;Gasto total;2022-06-01;9025.67
Total;Dato base;Gasto total;2022-05-01;8046.91
Total;Dato base;Gasto total;2022-04-01;6910.11
Total;Dato base;Gasto total;2022-03-01;5077.45
Total;Dato base;Gasto total;2022-02-01;3774.69
Total;Dato base;Gasto total;2022-01-01;3039.78
Total;Dato base;Gasto total;2021-12-01;3536.59
Total;Dato base;Gasto total;2021-11-01;3761.5
Total;Dato base;Gasto total;2021-10-01;5606.29
Total;Dato base;Gasto total;2021-09-01;5051.2
Total;Dato base;Gasto total;2021-08-01;5907.3
Total;Dato base;Gasto total;2021-07-01;5229.47
Total;Dato base;Gasto total;2021-06-01;2421.69
Total;Dato base;Gasto total;2021-05-01;1395.78
Total;Dato base;Gasto total;2021-04-01;668.42
Total;Dato base;Gasto total;2021-03-01;543.89
Total;Dato base;Gasto total;2021-02-01;323.82
Total;Dato base;Gasto total;2021-01-01;457.43
Total;Dato base;Gasto total;2020-12-01;696.81
Total;Dato base;Gasto total;2020-11-01;481.98
Total;Dato base;Gasto total;2020-10-01;864.49
Total;Dato base;Gasto total;2020-09-01;964.49
Total;Dato base;Gasto total;2020-08-01;2456.85
Total;Dato base;Gasto total;2020-07-01;2457.94
Total;Dato base;Gasto total;2020-06-01;133.89
Total;Dato base;Gasto total;2020-05-01;0
Total;Dato base;Gasto total;2020-04-01;0
Total;Dato base;Gasto total;2020-03-01;2173.73
Total;Dato base;Gasto total;2020-02-01;4789.29
Total;Dato base;Gasto total;2020-01-01;4767.31
Total;Dato base;Gasto total;2019-12-01;5010.84
Total;Dato base;Gasto total;2019-11-01;5062.63
Total;Dato base;Gasto total;2019-10-01;8322.55
Total;Dato base;Gasto total;2019-09-01;9617.21
Total;Dato base;Gasto total;2019-08-01;11704.76
Total;Dato base;Gasto total;2019-07-01;11941.51
Total;Dato base;Gasto total;2019-06-01;9686.12
Total;Dato base;Gasto total;2019-05-01;8137.84
Total;Dato base;Gasto total;2019-04-01;7056.36
Total;Dato base;Gasto total;2019-03-01;6034.87
Total;Dato base;Gasto total;2019-02-01;4658.61
Total;Dato base;Gasto total;2019-01-01;4678.67
Total;Dato base;Gasto total;2018-12-01;5009.52
Total;Dato base;Gasto total;2018-11-01;4888.55
Total;Dato base;Gasto total;2018-10-01;8164.58
Total;Dato base;Gasto total;2018-09-01;9545.81
Total;Dato base;Gasto total;2018-08-01;11459.69
Total;Dato base;Gasto total;2018-07-01;11748.1
Total;Dato base;Gasto total;2018-06-01;9370.81
Total;Dato base;Gasto total;2018-05-01;8155.06
Total;Dato base;Gasto total;2018-04-01;6621.53
Total;Dato base;Gasto total;2018-03-01;5726.73
Total;Dato base;Gasto total;2018-02-01;4535.94
Total;Dato base;Gasto total;2018-01-01;4524.43
Total;Dato base;Gasto total;2017-12-01;4530.66
Total;Dato base;Gasto total;2017-11-01;4642.35
Total;Dato base;Gasto total;2017-10-01;7789.23
Total;Dato base;Gasto total;2017-09-01;9476.29
Total;Dato base;Gasto total;2017-08-01;11340.29
Total;Dato base;Gasto total;2017-07-01;11850.99
Total;Dato base;Gasto total;2017-06-01;8987.77
Total;Dato base;Gasto total;2017-05-01;7927.07
Total;Dato base;Gasto total;2017-04-01;6782.08
Total;Dato base;Gasto total;2017-03-01;5109.49
Total;Dato base;Gasto total;2017-02-01;4304.73
Total;Dato base;Gasto total;2017-01-01;4262.99
Total;Dato base;Gasto total;2016-12-01;4525.45
Total;Dato base;Gasto total;2016-11-01;4205.06
Total;Dato base;Gasto total;2016-10-01;7333.85
Total;Dato base;Gasto total;2016-09-01;8399.31
Total;Dato base;Gasto total;2016-08-01;10281.98
Total;Dato base;Gasto total;2016-07-01;10238.54
Total;Dato base;Gasto total;2016-06-01;7817.41
Total;Dato base;Gasto total;2016-05-01;6917.93
Total;Dato base;Gasto total;2016-04-01;5627.99
Total;Dato base;Gasto total;2016-03-01;4624.47
Total;Dato base;Gasto total;2016-02-01;3706.27
Total;Dato base;Gasto total;2016-01-01;3737.26
Total;Dato base;Gasto total;2015-12-01;3773.27
Total;Dato base;Gasto total;2015-11-01;3872.84
Total;Dato base;Gasto total;2015-10-01;6280.63
Total;Dato base;Gasto medio por persona;2025-02-01;1345
Total;Dato base;Gasto medio por persona;2025-01-01;1408
Total;Dato base;Gasto medio por persona;2024-12-01;1442
Total;Dato base;Gasto medio por persona;2024-11-01;1359
Total;Dato base;Gasto medio por persona;2024-10-01;1328
Total;Dato base;Gasto medio por persona;2024-09-01;1314
Total;Dato base;Gasto medio por persona;2024-08-01;1406
Total;Dato base;Gasto medio por persona;2024-07-01;1429
Total;Dato base;Gasto medio por persona;2024-06-01;1329
Total;Dato base;Gasto medio por persona;2024-05-01;1263
Total;Dato base;Gasto medio por persona;2024-04-01;1219
Total;Dato base;Gasto medio por persona;2024-03-01;1359
Total;Dato base;Gasto medio por persona;2024-02-01;1346
Total;Dato base;Gasto medio por persona;2024-01-01;1371
Total;Dato base;Gasto medio por persona;2023-12-01;1361
Total;Dato base;Gasto medio por persona;2023-11-01;1294
Total;Dato base;Gasto medio por persona;2023-10-01;1258
Total;Dato base;Gasto medio por persona;2023-09-01;1273
Total;Dato base;Gasto medio por persona;2023-08-01;1335
Total;Dato base;Gasto medio por persona;2023-07-01;1372
Total;Dato base;Gasto medio por persona;2023-06-01;1277
Total;Dato base;Gasto medio por persona;2023-05-01;1177
Total;Dato base;Gasto medio por persona;2023-04-01;1170
Total;Dato base;Gasto medio por persona;2023-03-01;1271
Total;Dato base;Gasto medio por persona;2023-02-01;1242
Total;Dato base;Gasto medio por persona;2023-01-01;1262
Total;Dato base;Gasto medio por persona;2022-12-01;1269
Total;Dato base;Gasto medio por persona;2022-11-01;1242
Total;Dato base;Gasto medio por persona;2022-10-01;1158
Total;Dato base;Gasto medio por persona;2022-09-01;1178
Total;Dato base;Gasto medio por persona;2022-08-01;1275
Total;Dato base;Gasto medio por persona;2022-07-01;1309
Total;Dato base;Gasto medio por persona;2022-06-01;1204
Total;Dato base;Gasto medio por persona;2022-05-01;1151
Total;Dato base;Gasto medio por persona;2022-04-01;1132
Total;Dato base;Gasto medio por persona;2022-03-01;1257
Total;Dato base;Gasto medio por persona;2022-02-01;1187
Total;Dato base;Gasto medio por persona;2022-01-01;1215
Total;Dato base;Gasto medio por persona;2021-12-01;1200
Total;Dato base;Gasto medio por persona;2021-11-01;1119
Total;Dato base;Gasto medio por persona;2021-10-01;1089
Total;Dato base;Gasto medio por persona;2021-09-01;1074
Total;Dato base;Gasto medio por persona;2021-08-01;1137
Total;Dato base;Gasto medio por persona;2021-07-01;1189
Total;Dato base;Gasto medio por persona;2021-06-01;1093
Total;Dato base;Gasto medio por persona;2021-05-01;1024
Total;Dato base;Gasto medio por persona;2021-04-01;1062
Total;Dato base;Gasto medio por persona;2021-03-01;1107
Total;Dato base;Gasto medio por persona;2021-02-01;1136
Total;Dato base;Gasto medio por persona;2021-01-01;1044
Total;Dato base;Gasto medio por persona;2020-12-01;1074
Total;Dato base;Gasto medio por persona;2020-11-01;1055
Total;Dato base;Gasto medio por persona;2020-10-01;847
Total;Dato base;Gasto medio por persona;2020-09-01;847
Total;Dato base;Gasto medio por persona;2020-08-01;1007
Total;Dato base;Gasto medio por persona;2020-07-01;997
Total;Dato base;Gasto medio por persona;2020-06-01;655
Total;Dato base;Gasto medio por persona;2020-05-01;0
Total;Dato base;Gasto medio por persona;2020-04-01;0
Total;Dato base;Gasto medio por persona;2020-03-01;1088
Total;Dato base;Gasto medio por persona;2020-02-01;1082
Total;Dato base;Gasto medio por persona;2020-01-01;1153
Total;Dato base;Gasto medio por persona;2019-12-01;1164
Total;Dato base;Gasto medio por persona;2019-11-01;1088
Total;Dato base;Gasto medio por persona;2019-10-01;1097
Total;Dato base;Gasto medio por persona;2019-09-01;1087
Total;Dato base;Gasto medio por persona;2019-08-01;1157
Total;Dato base;Gasto medio por persona;2019-07-01;1209
Total;Dato base;Gasto medio por persona;2019-06-01;1096
Total;Dato base;Gasto medio por persona;2019-05-01;1028
Total;Dato base;Gasto medio por persona;2019-04-01;987
Total;Dato base;Gasto medio por persona;2019-03-01;1068
Total;Dato base;Gasto medio por persona;2019-02-01;1063
Total;Dato base;Gasto medio por persona;2019-01-01;1115
Total;Dato base;Gasto medio por persona;2018-12-01;1150
Total;Dato base;Gasto medio por persona;2018-11-01;1078
Total;Dato base;Gasto medio por persona;2018-10-01;1067
Total;Dato base;Gasto medio por persona;2018-09-01;1069
Total;Dato base;Gasto medio por persona;2018-08-01;1126
Total;Dato base;Gasto medio por persona;2018-07-01;1172
Total;Dato base;Gasto medio por persona;2018-06-01;1095
Total;Dato base;Gasto medio por persona;2018-05-01;1009
Total;Dato base;Gasto medio por persona;2018-04-01;977
Total;Dato base;Gasto medio por persona;2018-03-01;1062
Total;Dato base;Gasto medio por persona;2018-02-01;1075
Total;Dato base;Gasto medio por persona;2018-01-01;1102
Total;Dato base;Gasto medio por persona;2017-12-01;1138
Total;Dato base;Gasto medio por persona;2017-11-01;1057
Total;Dato base;Gasto medio por persona;2017-10-01;1071
Total;Dato base;Gasto medio por persona;2017-09-01;1067
Total;Dato base;Gasto medio por persona;2017-08-01;1091
Total;Dato base;Gasto medio por persona;2017-07-01;1129
Total;Dato base;Gasto medio por persona;2017-06-01;1066
Total;Dato base;Gasto medio por persona;2017-05-01;991
Total;Dato base;Gasto medio por persona;2017-04-01;958
Total;Dato base;Gasto medio por persona;2017-03-01;1040
Total;Dato base;Gasto medio por persona;2017-02-01;1045
Total;Dato base;Gasto medio por persona;2017-01-01;1091
Total;Dato base;Gasto medio por persona;2016-12-01;1134
Total;Dato base;Gasto medio por persona;2016-11-01;1026
Total;Dato base;Gasto medio por persona;2016-10-01;1027
Total;Dato base;Gasto medio por persona;2016-09-01;1059
Total;Dato base;Gasto medio por persona;2016-08-01;1025
Total;Dato base;Gasto medio por persona;2016-07-01;1073
Total;Dato base;Gasto medio por persona;2016-06-01;1035
Total;Dato base;Gasto medio por persona;2016-05-01;973
Total;Dato base;Gasto medio por persona;2016-04-01;925
Total;Dato base;Gasto medio por persona;2016-03-01;999
Total;Dato base;Gasto medio por persona;2016-02-01;1007
Total;Dato base;Gasto medio por persona;2016-01-01;1060
Total;Dato base;Gasto medio por persona;2015-12-01;1074
Total;Dato base;Gasto medio por persona;2015-11-01;1031
Total;Dato base;Gasto medio por persona;2015-10-01;976
Total;Dato base;Gasto medio diario por persona;2025-02-01;183
Total;Dato base;Gasto medio diario por persona;2025-01-01;165
Total;Dato base;Gasto medio diario por persona;2024-12-01;159
Total;Dato base;Gasto medio diario por persona;2024-11-01;178
Total;Dato base;Gasto medio diario por persona;2024-10-01;191
Total;Dato base;Gasto medio diario por persona;2024-09-01;195
Total;Dato base;Gasto medio diario por persona;2024-08-01;189
Total;Dato base;Gasto medio diario por persona;2024-07-01;196
Total;Dato base;Gasto medio diario por persona;2024-06-01;197
Total;Dato base;Gasto medio diario por persona;2024-05-01;205
Total;Dato base;Gasto medio diario por persona;2024-04-01;185
Total;Dato base;Gasto medio diario por persona;2024-03-01;180
Total;Dato base;Gasto medio diario por persona;2024-02-01;173
Total;Dato base;Gasto medio diario por persona;2024-01-01;158
Total;Dato base;Gasto medio diario por persona;2023-12-01;149
Total;Dato base;Gasto medio diario por persona;2023-11-01;174
Total;Dato base;Gasto medio diario por persona;2023-10-01;185
Total;Dato base;Gasto medio diario por persona;2023-09-01;188
Total;Dato base;Gasto medio diario por persona;2023-08-01;173
Total;Dato base;Gasto medio diario por persona;2023-07-01;191
Total;Dato base;Gasto medio diario por persona;2023-06-01;192
Total;Dato base;Gasto medio diario por persona;2023-05-01;188
Total;Dato base;Gasto medio diario por persona;2023-04-01;174
Total;Dato base;Gasto medio diario por persona;2023-03-01;170
Total;Dato base;Gasto medio diario por persona;2023-02-01;164
Total;Dato base;Gasto medio diario por persona;2023-01-01;149
Total;Dato base;Gasto medio diario por persona;2022-12-01;146
Total;Dato base;Gasto medio diario por persona;2022-11-01;167
Total;Dato base;Gasto medio diario por persona;2022-10-01;168
Total;Dato base;Gasto medio diario por persona;2022-09-01;170
Total;Dato base;Gasto medio diario por persona;2022-08-01;163
Total;Dato base;Gasto medio diario por persona;2022-07-01;169
Total;Dato base;Gasto medio diario por persona;2022-06-01;174
Total;Dato base;Gasto medio diario por persona;2022-05-01;176
Total;Dato base;Gasto medio diario por persona;2022-04-01;155
Total;Dato base;Gasto medio diario por persona;2022-03-01;157
Total;Dato base;Gasto medio diario por persona;2022-02-01;137
Total;Dato base;Gasto medio diario por persona;2022-01-01;124
Total;Dato base;Gasto medio diario por persona;2021-12-01;126
Total;Dato base;Gasto medio diario por persona;2021-11-01;142
Total;Dato base;Gasto medio diario por persona;2021-10-01;140
Total;Dato base;Gasto medio diario por persona;2021-09-01;138
Total;Dato base;Gasto medio diario por persona;2021-08-01;135
Total;Dato base;Gasto medio diario por persona;2021-07-01;145
Total;Dato base;Gasto medio diario por persona;2021-06-01;147
Total;Dato base;Gasto medio diario por persona;2021-05-01;141
Total;Dato base;Gasto medio diario por persona;2021-04-01;131
Total;Dato base;Gasto medio diario por persona;2021-03-01;131
Total;Dato base;Gasto medio diario por persona;2021-02-01;118
Total;Dato base;Gasto medio diario por persona;2021-01-01;106
Total;Dato base;Gasto medio diario por persona;2020-12-01;110
Total;Dato base;Gasto medio diario por persona;2020-11-01;124
Total;Dato base;Gasto medio diario por persona;2020-10-01;106
Total;Dato base;Gasto medio diario por persona;2020-09-01;107
Total;Dato base;Gasto medio diario por persona;2020-08-01;117
Total;Dato base;Gasto medio diario por persona;2020-07-01;124
Total;Dato base;Gasto medio diario por persona;2020-06-01;109
Total;Dato base;Gasto medio diario por persona;2020-05-01;0
Total;Dato base;Gasto medio diario por persona;2020-04-01;0
Total;Dato base;Gasto medio diario por persona;2020-03-01;154
Total;Dato base;Gasto medio diario por persona;2020-02-01;152
Total;Dato base;Gasto medio diario por persona;2020-01-01;145
Total;Dato base;Gasto medio diario por persona;2019-12-01;149
Total;Dato base;Gasto medio diario por persona;2019-11-01;161
Total;Dato base;Gasto medio diario por persona;2019-10-01;161
Total;Dato base;Gasto medio diario por persona;2019-09-01;152
Total;Dato base;Gasto medio diario por persona;2019-08-01;147
Total;Dato base;Gasto medio diario por persona;2019-07-01;160
Total;Dato base;Gasto medio diario por persona;2019-06-01;164
Total;Dato base;Gasto medio diario por persona;2019-05-01;164
Total;Dato base;Gasto medio diario por persona;2019-04-01;154
Total;Dato base;Gasto medio diario por persona;2019-03-01;151
Total;Dato base;Gasto medio diario por persona;2019-02-01;148
Total;Dato base;Gasto medio diario por persona;2019-01-01;139
Total;Dato base;Gasto medio diario por persona;2018-12-01;137
Total;Dato base;Gasto medio diario por persona;2018-11-01;154
Total;Dato base;Gasto medio diario por persona;2018-10-01;151
Total;Dato base;Gasto medio diario por persona;2018-09-01;147
Total;Dato base;Gasto medio diario por persona;2018-08-01;139
Total;Dato base;Gasto medio diario por persona;2018-07-01;152
Total;Dato base;Gasto medio diario por persona;2018-06-01;151
Total;Dato base;Gasto medio diario por persona;2018-05-01;149
Total;Dato base;Gasto medio diario por persona;2018-04-01;144
Total;Dato base;Gasto medio diario por persona;2018-03-01;142
Total;Dato base;Gasto medio diario por persona;2018-02-01;141
Total;Dato base;Gasto medio diario por persona;2018-01-01;132
Total;Dato base;Gasto medio diario por persona;2017-12-01;127
Total;Dato base;Gasto medio diario por persona;2017-11-01;138
Total;Dato base;Gasto medio diario por persona;2017-10-01;143
Total;Dato base;Gasto medio diario por persona;2017-09-01;143
Total;Dato base;Gasto medio diario por persona;2017-08-01;126
Total;Dato base;Gasto medio diario por persona;2017-07-01;139
Total;Dato base;Gasto medio diario por persona;2017-06-01;143
Total;Dato base;Gasto medio diario por persona;2017-05-01;145
Total;Dato base;Gasto medio diario por persona;2017-04-01;139
Total;Dato base;Gasto medio diario por persona;2017-03-01;141
Total;Dato base;Gasto medio diario por persona;2017-02-01;132
Total;Dato base;Gasto medio diario por persona;2017-01-01;129
Total;Dato base;Gasto medio diario por persona;2016-12-01;124
Total;Dato base;Gasto medio diario por persona;2016-11-01;138
Total;Dato base;Gasto medio diario por persona;2016-10-01;136
Total;Dato base;Gasto medio diario por persona;2016-09-01;135
Total;Dato base;Gasto medio diario por persona;2016-08-01;117
Total;Dato base;Gasto medio diario por persona;2016-07-01;131
Total;Dato base;Gasto medio diario por persona;2016-06-01;136
Total;Dato base;Gasto medio diario por persona;2016-05-01;142
Total;Dato base;Gasto medio diario por persona;2016-04-01;130
Total;Dato base;Gasto medio diario por persona;2016-03-01;131
Total;Dato base;Gasto medio diario por persona;2016-02-01;129
Total;Dato base;Gasto medio diario por persona;2016-01-01;122
Total;Dato base;Gasto medio diario por persona;2015-12-01;116
Total;Dato base;Gasto medio diario por persona;2015-11-01;130
Total;Dato base;Gasto medio diario por persona;2015-10-01;120
Total;Dato base;Duración media de los viajes;2025-02-01;7.35
Total;Dato base;Duración media de los viajes;2025-01-01;8.55
Total;Dato base;Duración media de los viajes;2024-12-01;9.05
Total;Dato base;Duración media de los viajes;2024-11-01;7.62
Total;Dato base;Duración media de los viajes;2024-10-01;6.95
Total;Dato base;Duración media de los viajes;2024-09-01;6.73
Total;Dato base;Duración media de los viajes;2024-08-01;7.46
Total;Dato base;Duración media de los viajes;2024-07-01;7.29
Total;Dato base;Duración media de los viajes;2024-06-01;6.75
Total;Dato base;Duración media de los viajes;2024-05-01;6.16
Total;Dato base;Duración media de los viajes;2024-04-01;6.59
Total;Dato base;Duración media de los viajes;2024-03-01;7.56
Total;Dato base;Duración media de los viajes;2024-02-01;7.76
Total;Dato base;Duración media de los viajes;2024-01-01;8.68
Total;Dato base;Duración media de los viajes;2023-12-01;9.12
Total;Dato base;Duración media de los viajes;2023-11-01;7.43
Total;Dato base;Duración media de los viajes;2023-10-01;6.79
Total;Dato base;Duración media de los viajes;2023-09-01;6.78
Total;Dato base;Duración media de los viajes;2023-08-01;7.73
Total;Dato base;Duración media de los viajes;2023-07-01;7.18
Total;Dato base;Duración media de los viajes;2023-06-01;6.64
Total;Dato base;Duración media de los viajes;2023-05-01;6.26
Total;Dato base;Duración media de los viajes;2023-04-01;6.73
Total;Dato base;Duración media de los viajes;2023-03-01;7.46
Total;Dato base;Duración media de los viajes;2023-02-01;7.57
Total;Dato base;Duración media de los viajes;2023-01-01;8.48
Total;Dato base;Duración media de los viajes;2022-12-01;8.69
Total;Dato base;Duración media de los viajes;2022-11-01;7.46
Total;Dato base;Duración media de los viajes;2022-10-01;6.91
Total;Dato base;Duración media de los viajes;2022-09-01;6.91
Total;Dato base;Duración media de los viajes;2022-08-01;7.84
Total;Dato base;Duración media de los viajes;2022-07-01;7.73
Total;Dato base;Duración media de los viajes;2022-06-01;6.92
Total;Dato base;Duración media de los viajes;2022-05-01;6.53
Total;Dato base;Duración media de los viajes;2022-04-01;7.3
Total;Dato base;Duración media de los viajes;2022-03-01;7.99
Total;Dato base;Duración media de los viajes;2022-02-01;8.67
Total;Dato base;Duración media de los viajes;2022-01-01;9.8
Total;Dato base;Duración media de los viajes;2021-12-01;9.51
Total;Dato base;Duración media de los viajes;2021-11-01;7.87
Total;Dato base;Duración media de los viajes;2021-10-01;7.79
Total;Dato base;Duración media de los viajes;2021-09-01;7.8
Total;Dato base;Duración media de los viajes;2021-08-01;8.43
Total;Dato base;Duración media de los viajes;2021-07-01;8.22
Total;Dato base;Duración media de los viajes;2021-06-01;7.43
Total;Dato base;Duración media de los viajes;2021-05-01;7.28
Total;Dato base;Duración media de los viajes;2021-04-01;8.11
Total;Dato base;Duración media de los viajes;2021-03-01;8.48
Total;Dato base;Duración media de los viajes;2021-02-01;9.6
Total;Dato base;Duración media de los viajes;2021-01-01;9.86
Total;Dato base;Duración media de los viajes;2020-12-01;9.77
Total;Dato base;Duración media de los viajes;2020-11-01;8.48
Total;Dato base;Duración media de los viajes;2020-10-01;7.97
Total;Dato base;Duración media de los viajes;2020-09-01;7.92
Total;Dato base;Duración media de los viajes;2020-08-01;8.59
Total;Dato base;Duración media de los viajes;2020-07-01;8.03
Total;Dato base;Duración media de los viajes;2020-06-01;6.01
Total;Dato base;Duración media de los viajes;2020-05-01;0
Total;Dato base;Duración media de los viajes;2020-04-01;0
Total;Dato base;Duración media de los viajes;2020-03-01;7.08
Total;Dato base;Duración media de los viajes;2020-02-01;7.13
Total;Dato base;Duración media de los viajes;2020-01-01;7.97
Total;Dato base;Duración media de los viajes;2019-12-01;7.8
Total;Dato base;Duración media de los viajes;2019-11-01;6.74
Total;Dato base;Duración media de los viajes;2019-10-01;6.81
Total;Dato base;Duración media de los viajes;2019-09-01;7.13
Total;Dato base;Duración media de los viajes;2019-08-01;7.88
Total;Dato base;Duración media de los viajes;2019-07-01;7.55
Total;Dato base;Duración media de los viajes;2019-06-01;6.71
Total;Dato base;Duración media de los viajes;2019-05-01;6.27
Total;Dato base;Duración media de los viajes;2019-04-01;6.4
Total;Dato base;Duración media de los viajes;2019-03-01;7.09
Total;Dato base;Duración media de los viajes;2019-02-01;7.19
Total;Dato base;Duración media de los viajes;2019-01-01;8.05
Total;Dato base;Duración media de los viajes;2018-12-01;8.42
Total;Dato base;Duración media de los viajes;2018-11-01;7.01
Total;Dato base;Duración media de los viajes;2018-10-01;7.08
Total;Dato base;Duración media de los viajes;2018-09-01;7.29
Total;Dato base;Duración media de los viajes;2018-08-01;8.09
Total;Dato base;Duración media de los viajes;2018-07-01;7.7
Total;Dato base;Duración media de los viajes;2018-06-01;7.26
Total;Dato base;Duración media de los viajes;2018-05-01;6.76
Total;Dato base;Duración media de los viajes;2018-04-01;6.77
Total;Dato base;Duración media de los viajes;2018-03-01;7.49
Total;Dato base;Duración media de los viajes;2018-02-01;7.63
Total;Dato base;Duración media de los viajes;2018-01-01;8.37
Total;Dato base;Duración media de los viajes;2017-12-01;8.99
Total;Dato base;Duración media de los viajes;2017-11-01;7.65
Total;Dato base;Duración media de los viajes;2017-10-01;7.47
Total;Dato base;Duración media de los viajes;2017-09-01;7.48
Total;Dato base;Duración media de los viajes;2017-08-01;8.65
Total;Dato base;Duración media de los viajes;2017-07-01;8.11
Total;Dato base;Duración media de los viajes;2017-06-01;7.46
Total;Dato base;Duración media de los viajes;2017-05-01;6.84
Total;Dato base;Duración media de los viajes;2017-04-01;6.9
Total;Dato base;Duración media de los viajes;2017-03-01;7.39
Total;Dato base;Duración media de los viajes;2017-02-01;7.93
Total;Dato base;Duración media de los viajes;2017-01-01;8.45
Total;Dato base;Duración media de los viajes;2016-12-01;9.15
Total;Dato base;Duración media de los viajes;2016-11-01;7.43
Total;Dato base;Duración media de los viajes;2016-10-01;7.55
Total;Dato base;Duración media de los viajes;2016-09-01;7.86
Total;Dato base;Duración media de los viajes;2016-08-01;8.76
Total;Dato base;Duración media de los viajes;2016-07-01;8.2
Total;Dato base;Duración media de los viajes;2016-06-01;7.6
Total;Dato base;Duración media de los viajes;2016-05-01;6.86
Total;Dato base;Duración media de los viajes;2016-04-01;7.11
Total;Dato base;Duración media de los viajes;2016-03-01;7.62
Total;Dato base;Duración media de los viajes;2016-02-01;7.81
Total;Dato base;Duración media de los viajes;2016-01-01;8.7
Total;Dato base;Duración media de los viajes;2015-12-01;9.25
Total;Dato base;Duración media de los viajes;2015-11-01;7.95
Total;Dato base;Duración media de los viajes;2015-10-01;8.12
Total;Tasa de variación anual;Gasto total;2025-02-01;7.61
Total;Tasa de variación anual;Gasto total;2025-01-01;8.95
Total;Tasa de variación anual;Gasto total;2024-12-01;7.05
Total;Tasa de variación anual;Gasto total;2024-11-01;16
Total;Tasa de variación anual;Gasto total;2024-10-01;15.5
Total;Tasa de variación anual;Gasto total;2024-09-01;12.68
Total;Tasa de variación anual;Gasto total;2024-08-01;12.98
Total;Tasa de variación anual;Gasto total;2024-07-01;11.76
Total;Tasa de variación anual;Gasto total;2024-06-01;16.49
Total;Tasa de variación anual;Gasto total;2024-05-01;19.66
Total;Tasa de variación anual;Gasto total;2024-04-01;12.23
Total;Tasa de variación anual;Gasto total;2024-03-01;29.44
Total;Tasa de variación anual;Gasto total;2024-02-01;25.77
Total;Tasa de variación anual;Gasto total;2024-01-01;25.48
Total;Tasa de variación anual;Gasto total;2023-12-01;35.35
Total;Tasa de variación anual;Gasto total;2023-11-01;23.46
Total;Tasa de variación anual;Gasto total;2023-10-01;23.95
Total;Tasa de variación anual;Gasto total;2023-09-01;22.37
Total;Tasa de variación anual;Gasto total;2023-08-01;20.54
Total;Tasa de variación anual;Gasto total;2023-07-01;16.63
Total;Tasa de variación anual;Gasto total;2023-06-01;17.53
Total;Tasa de variación anual;Gasto total;2023-05-01;21.38
Total;Tasa de variación anual;Gasto total;2023-04-01;22.35
Total;Tasa de variación anual;Gasto total;2023-03-01;31.33
Total;Tasa de variación anual;Gasto total;2023-02-01;42.11
Total;Tasa de variación anual;Gasto total;2023-01-01;71.62
Total;Tasa de variación anual;Gasto total;2022-12-01;48.13
Total;Tasa de variación anual;Gasto total;2022-11-01;43.08
Total;Tasa de variación anual;Gasto total;2022-10-01;48.25
Total;Tasa de variación anual;Gasto total;2022-09-01;81.1
Total;Tasa de variación anual;Gasto total;2022-08-01;90.98
Total;Tasa de variación anual;Gasto total;2022-07-01;127.6
Total;Tasa de variación anual;Gasto total;2022-06-01;272.7
Total;Tasa de variación anual;Gasto total;2022-05-01;476.52
Total;Tasa de variación anual;Gasto total;2022-04-01;933.8
Total;Tasa de variación anual;Gasto total;2022-03-01;833.54
Total;Tasa de variación anual;Gasto total;2022-02-01;1065.68
Total;Tasa de variación anual;Gasto total;2022-01-01;564.53
Total;Tasa de variación anual;Gasto total;2021-12-01;407.54
Total;Tasa de variación anual;Gasto total;2021-11-01;680.43
Total;Tasa de variación anual;Gasto total;2021-10-01;548.51
Total;Tasa de variación anual;Gasto total;2021-09-01;423.72
Total;Tasa de variación anual;Gasto total;2021-08-01;140.44
Total;Tasa de variación anual;Gasto total;2021-07-01;112.76
Total;Tasa de variación anual;Gasto total;2021-06-01;1708.65
